date_time,matchday,home_team,home_score,guest_score,guest_team,season
2005-04-02T15:30:00,27,FC Hansa Rostock,2,0,1. FSV Mainz 05,2004
2005-04-02T15:30:00,27,VfL Wolfsburg,0,3,FC Bayern München,2004
2005-04-02T15:30:00,27,1. FC Kaiserslautern,0,2,Hannover 96,2004
2005-04-02T15:30:00,27,Arminia Bielefeld,1,0,Bayer Leverkusen,2004
2005-04-02T15:30:00,27,SC Freiburg,1,1,Hamburger SV,2004
2005-04-02T15:30:00,27,Werder Bremen,1,2,VfB Stuttgart,2004
2005-04-02T15:30:00,27,FC Schalke 04,4,1,1. FC Nürnberg,2004
2005-04-03T17:30:00,27,Borussia Mönchengladbach,2,2,VfL Bochum,2004
2005-04-03T17:30:00,27,BV Borussia Dortmund 09,2,1,Hertha BSC,2004
2005-04-09T15:30:00,28,Hertha BSC,3,1,SC Freiburg,2004
2005-04-09T15:30:00,28,Bayer Leverkusen,0,1,BV Borussia Dortmund 09,2004
2005-04-09T15:30:00,28,VfL Bochum,1,0,Hannover 96,2004
2005-04-09T15:30:00,28,FC Bayern München,2,1,Borussia Mönchengladbach,2004
2005-04-09T15:30:00,28,1. FSV Mainz 05,0,2,VfL Wolfsburg,2004
2005-04-09T15:30:00,28,VfB Stuttgart,3,0,FC Schalke 04,2004
2005-04-09T15:30:00,28,Hamburger SV,1,2,Werder Bremen,2004
2005-04-10T17:30:00,28,Arminia Bielefeld,0,2,1. FC Kaiserslautern,2004
2005-04-10T17:30:00,28,1. FC Nürnberg,3,0,FC Hansa Rostock,2004
2005-04-16T15:30:00,29,Borussia Mönchengladbach,1,1,1. FSV Mainz 05,2004
2005-04-16T15:30:00,29,Hannover 96,0,1,FC Bayern München,2004
2005-04-16T15:30:00,29,BV Borussia Dortmund 09,1,1,Arminia Bielefeld,2004
2005-04-16T15:30:00,29,SC Freiburg,1,3,Bayer Leverkusen,2004
2005-04-16T15:30:00,29,Werder Bremen,0,1,Hertha BSC,2004
2005-04-16T15:30:00,29,FC Schalke 04,1,2,Hamburger SV,2004
2005-04-16T15:30:00,29,FC Hansa Rostock,2,1,VfB Stuttgart,2004
2005-04-17T17:30:00,29,1. FC Kaiserslautern,1,2,VfL Bochum,2004
2005-04-17T17:30:00,29,VfL Wolfsburg,0,1,1. FC Nürnberg,2004
2005-04-23T15:30:00,30,BV Borussia Dortmund 09,4,2,1. FC Kaiserslautern,2004
2005-04-23T15:30:00,30,Arminia Bielefeld,3,1,SC Freiburg,2004
2005-04-23T15:30:00,30,FC Bayern München,3,1,VfL Bochum,2004
2005-04-23T15:30:00,30,1. FSV Mainz 05,2,0,Hannover 96,2004
2005-04-23T15:30:00,30,VfB Stuttgart,0,0,VfL Wolfsburg,2004
2005-04-23T15:30:00,30,Hamburger SV,3,0,FC Hansa Rostock,2004
2005-04-23T15:30:00,30,Hertha BSC,4,1,FC Schalke 04,2004
2005-04-24T17:30:00,30,1. FC Nürnberg,0,0,Borussia Mönchengladbach,2004
2005-04-24T17:30:00,30,Bayer Leverkusen,2,1,Werder Bremen,2004
2005-04-30T15:30:00,31,VfL Bochum,2,6,1. FSV Mainz 05,2004
2005-04-30T15:30:00,31,1. FC Kaiserslautern,0,4,FC Bayern München,2004
2005-04-30T15:30:00,31,SC Freiburg,2,2,BV Borussia Dortmund 09,2004
2005-04-30T15:30:00,31,Werder Bremen,3,0,Arminia Bielefeld,2004
2005-04-30T15:30:00,31,FC Schalke 04,3,3,Bayer Leverkusen,2004
2005-04-30T15:30:00,31,FC Hansa Rostock,2,1,Hertha BSC,2004
2005-04-30T15:30:00,31,Borussia Mönchengladbach,2,0,VfB Stuttgart,2004
2005-05-01T17:30:00,31,VfL Wolfsburg,1,0,Hamburger SV,2004
2005-05-01T17:30:00,31,Hannover 96,1,0,1. FC Nürnberg,2004
2005-05-07T15:30:00,32,SC Freiburg,1,2,1. FC Kaiserslautern,2004
2005-05-07T15:30:00,32,1. FSV Mainz 05,2,4,FC Bayern München,2004
2005-05-07T15:30:00,32,1. FC Nürnberg,2,1,VfL Bochum,2004
2005-05-07T15:30:00,32,VfB Stuttgart,1,0,Hannover 96,2004
2005-05-07T15:30:00,32,Hertha BSC,3,1,VfL Wolfsburg,2004
2005-05-07T15:30:00,32,Bayer Leverkusen,3,0,FC Hansa Rostock,2004
2005-05-07T15:30:00,32,Arminia Bielefeld,0,2,FC Schalke 04,2004
2005-05-08T17:30:00,32,Hamburger SV,0,0,Borussia Mönchengladbach,2004
2005-05-08T17:30:00,32,BV Borussia Dortmund 09,1,0,Werder Bremen,2004
2005-05-14T15:30:00,33,1. FSV Mainz 05,3,2,1. FC Kaiserslautern,2004
2005-05-14T15:30:00,33,Werder Bremen,4,1,SC Freiburg,2004
2005-05-14T15:30:00,33,FC Schalke 04,1,2,BV Borussia Dortmund 09,2004
2005-05-14T15:30:00,33,FC Hansa Rostock,1,1,Arminia Bielefeld,2004
2005-05-14T15:30:00,33,VfL Wolfsburg,2,2,Bayer Leverkusen,2004
2005-05-14T15:30:00,33,Borussia Mönchengladbach,0,0,Hertha BSC,2004
2005-05-14T15:30:00,33,Hannover 96,2,1,Hamburger SV,2004
2005-05-14T15:30:00,33,VfL Bochum,2,0,VfB Stuttgart,2004
2005-05-14T15:30:00,33,FC Bayern München,6,3,1. FC Nürnberg,2004
2005-05-21T15:30:00,34,1. FC Nürnberg,1,2,1. FSV Mainz 05,2004
2005-05-21T15:30:00,34,VfB Stuttgart,1,3,FC Bayern München,2004
2005-05-21T15:30:00,34,Hamburger SV,0,1,VfL Bochum,2004
2005-05-21T15:30:00,34,Hertha BSC,0,0,Hannover 96,2004
2005-05-21T15:30:00,34,Bayer Leverkusen,5,1,Borussia Mönchengladbach,2004
2005-05-21T15:30:00,34,Arminia Bielefeld,1,2,VfL Wolfsburg,2004
2005-05-21T15:30:00,34,BV Borussia Dortmund 09,2,1,FC Hansa Rostock,2004
2005-05-21T15:30:00,34,SC Freiburg,2,3,FC Schalke 04,2004
2005-05-21T15:30:00,34,1. FC Kaiserslautern,1,2,Werder Bremen,2004
2005-08-05T20:30:00,1,FC Bayern München,3,0,Borussia Mönchengladbach,2005
2005-08-06T15:30:00,1,1. FC Köln,1,0,1. FSV Mainz 05,2005
2005-08-06T15:30:00,1,MSV Duisburg,1,1,VfB Stuttgart,2005
2005-08-06T15:30:00,1,Hamburger SV,3,0,1. FC Nürnberg,2005
2005-08-06T15:30:00,1,VfL Wolfsburg,2,2,BV Borussia Dortmund 09,2005
2005-08-06T15:30:00,1,Werder Bremen,5,2,Arminia Bielefeld,2005
2005-08-06T15:30:00,1,Hannover 96,2,2,Hertha BSC,2005
2005-08-07T17:30:00,1,FC Schalke 04,2,1,1. FC Kaiserslautern,2005
2005-08-07T17:30:00,1,Eintracht Frankfurt,1,4,Bayer Leverkusen,2005
2005-08-13T15:30:00,2,Bayer Leverkusen,2,5,FC Bayern München,2005
2005-08-13T15:30:00,2,Borussia Mönchengladbach,1,1,VfL Wolfsburg,2005
2005-08-13T15:30:00,2,BV Borussia Dortmund 09,1,2,FC Schalke 04,2005
2005-08-13T15:30:00,2,Hertha BSC,2,0,Eintracht Frankfurt,2005
